Protein(g),Carbs(g),Fat(g),Diet_type_mediterranean,Diet_type_vegan,Cuisine_Group_Amerika,Cuisine_Group_Eropa,Cluster
46.36,84.52,42.61,0.0,1.0,1.0,0.0,0
41.73,143.91,73.88,0.0,1.0,1.0,0.0,0
103.83,82.54,139.3,0.0,1.0,1.0,0.0,0
73.05,266.38,166.64,0.0,1.0,1.0,0.0,0
143.13,208.42,189.86,0.0,1.0,1.0,0.0,0
29.53,168.46,59.830000000000005,0.0,1.0,1.0,0.0,0
45.25,106.45,98.01000000000002,0.0,1.0,1.0,0.0,0
60.38,272.18,287.22,0.0,1.0,1.0,0.0,0
54.22,143.1,81.73,0.0,1.0,1.0,0.0,0
71.19,428.01,248.98,0.0,1.0,1.0,0.0,0
36.74,127.18,60.04,0.0,1.0,1.0,0.0,0
119.69,80.59,33.4,0.0,1.0,1.0,0.0,0
132.14,453.36,72.61,0.0,1.0,1.0,0.0,0
52.69,40.66,37.09,0.0,1.0,1.0,0.0,0
61.47,269.97,68.85,0.0,1.0,1.0,0.0,0
14.53,107.31,78.16,0.0,1.0,1.0,0.0,0
144.17,284.74,54.78,0.0,1.0,1.0,0.0,0
66.4,239.64000000000001,284.24,0.0,1.0,1.0,0.0,0
42.83,344.63,121.93,0.0,1.0,1.0,0.0,0
31.899999999999995,66.68,13.49,0.0,1.0,1.0,0.0,0
28.01,37.29,67.87,0.0,1.0,1.0,0.0,0
55.03,439.96,52.510000000000005,0.0,1.0,1.0,0.0,0
113.8,391.09,97.24000000000001,0.0,1.0,0.0,1.0,1
29.04,178.5,73.99,0.0,1.0,1.0,0.0,0
161.61,304.45,175.44999999999996,0.0,1.0,1.0,0.0,0
20.77,129.36,26.849999999999998,0.0,1.0,1.0,0.0,0
74.83,374.84,36.75,0.0,1.0,1.0,0.0,0
42.07,170.89,42.08,0.0,1.0,1.0,0.0,0
24.25,80.63,40.53,0.0,1.0,0.0,1.0,1
46.27,297.82,26.19,0.0,1.0,1.0,0.0,0
64.42,421.16,91.7,0.0,1.0,1.0,0.0,0
21.37,121.44,48.19,0.0,1.0,1.0,0.0,0
57.38,134.68,188.77,0.0,1.0,1.0,0.0,0
49.54,220.02,59.7,0.0,1.0,1.0,0.0,0
37.78,425.18,271.62,0.0,1.0,1.0,0.0,0
80.8,335.2,27.94,0.0,1.0,1.0,0.0,0
6.76,40.99,68.13,0.0,1.0,1.0,0.0,0
34.96,284.85,220.65,0.0,1.0,1.0,0.0,0
68.49,279.16,49.72,0.0,1.0,1.0,0.0,0
50.67,221.8,68.92,0.0,1.0,1.0,0.0,0
100.27,167.06,279.46,0.0,1.0,1.0,0.0,0
46.34,126.68,66.66,0.0,1.0,1.0,0.0,0
57.26,229.43,36.96,0.0,1.0,1.0,0.0,0
5.51,70.81,16.13,0.0,1.0,1.0,0.0,0
26.13,153.72,15.670000000000002,0.0,1.0,1.0,0.0,0
34.55,97.14,30.74,0.0,1.0,1.0,0.0,0
114.36,389.31,28.11,0.0,1.0,1.0,0.0,0
55.19,100.02,66.46,0.0,1.0,1.0,0.0,0
37.37,99.68,42.809999999999995,0.0,1.0,1.0,0.0,0
35.92,223.73,71.83,0.0,1.0,1.0,0.0,0
35.2,405.49,129.47,0.0,1.0,0.0,1.0,1
57.67,132.69,72.92,0.0,1.0,1.0,0.0,0
33.99,158.29,73.24,0.0,1.0,1.0,0.0,0
17.71,99.41,32.22,0.0,1.0,1.0,0.0,0
33.97,422.06,151.76,0.0,1.0,1.0,0.0,0
41.62,119.38,71.62,0.0,1.0,1.0,0.0,0
